
S&P 500 INDEX,Last: 7489.7202,Change:  52.0902
Date: 3 August 2026 at 05:22 GMT-4,Bid: 7440.8301,Ask: 7519.0498,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Aug 03 2026,SPXW260803C06650000,800.03,0,864.8,888.8,0,1.4432,0.9996,0,2,6650.00,SPXW260803P06650000,0.05,-0.125,0,0.05,30,1.038,-0.0004,0,269
Mon Aug 03 2026,SPXW260803C06675000,0,0,839.8,863.8,0,1.4043,0.9996,0,0,6675.00,SPXW260803P06675000,0.05,-0.125,0,0.05,5,1.0086,-0.0004,0,168
Mon Aug 03 2026,SPXW260803C06700000,713.93,0,824.4,827.3,0,0,0.9996,0,2,6700.00,SPXW260803P06700000,0.05,-0.025,0,0.05,128,0.9792,-0.0004,0,2517
Mon Aug 03 2026,SPXW260803C06725000,0,0,799.4,802.3,0,0,0.9996,0,0,6725.00,SPXW260803P06725000,0.05,-0.15,0,0.05,126,0.9499,-0.0004,0,218
Mon Aug 03 2026,SPXW260803C06740000,0,0,784.4,787.3,0,0,0.9996,0,0,6740.00,SPXW260803P06740000,0.1,-0.125,0,0.05,24,0.9324,-0.0004,0,20
Mon Aug 03 2026,SPXW260803C06750000,700.05,0,774.4,777.3,0,0,0.9996,0,1,6750.00,SPXW260803P06750000,0.05,-0.175,0,0.05,94,0.9207,-0.0004,0,301
Mon Aug 03 2026,SPXW260803C06760000,0,0,764.4,767.3,0,0,0.9996,0,0,6760.00,SPXW260803P06760000,0.15,-0.1,0,0.05,74,0.909,-0.0004,0,70
Mon Aug 03 2026,SPXW260803C06770000,0,0,754.4,757.3,0,0,0.9996,0,0,6770.00,SPXW260803P06770000,0.1,-0.125,0,0.05,2,0.8974,-0.0004,0,5
Mon Aug 03 2026,SPXW260803C06775000,0,0,749.5,752.3,0,0.9221,0.9996,0,0,6775.00,SPXW260803P06775000,0.05,-0.175,0,0.05,125,0.8915,-0.0004,0,360
Mon Aug 03 2026,SPXW260803C06780000,0,0,744.5,747.3,0,0.9161,0.9996,0,0,6780.00,SPXW260803P06780000,0.25,0,0,0.05,0,0.8857,-0.0004,0,3
Mon Aug 03 2026,SPXW260803C06790000,0,0,734.5,737.3,0,0.9041,0.9996,0,0,6790.00,SPXW260803P06790000,0.05,-0.2,0,0.05,38,0.8736,-0.0004,0,43
Mon Aug 03 2026,SPXW260803C06800000,647.91,0,724.5,727.3,0,0.8921,0.9996,0,1,6800.00,SPXW260803P06800000,0.06,-0.225,0,0.05,83,0.8619,-0.0004,0,367
Mon Aug 03 2026,SPXW260803C06810000,0,0,714.5,717.3,0,0.8801,0.9995,0,0,6810.00,SPXW260803P06810000,0.15,-0.125,0,0.05,21,0.8503,-0.0005,0,22
Mon Aug 03 2026,SPXW260803C06820000,570.07,0,704.5,707.3,0,0.8681,0.9995,0,1,6820.00,SPXW260803P06820000,0.05,-0.225,0,0.05,16,0.8386,-0.0005,0,45
Mon Aug 03 2026,SPXW260803C06825000,534.68,0,699.5,702.3,0,0.8621,0.9995,0,0,6825.00,SPXW260803P06825000,0.05,-0.225,0,0.05,68,0.8328,-0.0005,0,639
Mon Aug 03 2026,SPXW260803C06830000,555.48,0,694.5,697.3,0,0.8561,0.9995,0,2,6830.00,SPXW260803P06830000,0.05,-0.225,0,0.05,54,0.827,-0.0005,0,38
Mon Aug 03 2026,SPXW260803C06840000,567.03,0,684.5,687.3,0,0.8442,0.9995,0,0,6840.00,SPXW260803P06840000,0.11,-0.165,0,0.05,67,0.8154,-0.0005,0,108
Mon Aug 03 2026,SPXW260803C06850000,513.57,0,674.5,677.3,0,0.8322,0.9995,0,1,6850.00,SPXW260803P06850000,0.05,-0.275,0,0.05,6071,0.8038,-0.0005,0,6158
Mon Aug 03 2026,SPXW260803C06860000,575.11,-9.49,664.5,667.3,2,0.8202,0.9995,0,2,6860.00,SPXW260803P06860000,0.1,-0.225,0,0.05,34,0.7922,-0.0005,0,35
Mon Aug 03 2026,SPXW260803C06870000,0,0,654.5,657.3,0,0.8083,0.9995,0,0,6870.00,SPXW260803P06870000,0.1,-0.25,0,0.05,4,0.7806,-0.0005,0,15
Mon Aug 03 2026,SPXW260803C06875000,477.79,0,649.5,652.3,0,0.8023,0.9995,0,2,6875.00,SPXW260803P06875000,0.15,-0.175,0,0.05,37,0.7748,-0.0005,0,3212
Mon Aug 03 2026,SPXW260803C06880000,524.96,0,644.5,647.3,0,0.7963,0.9995,0,1,6880.00,SPXW260803P06880000,0.17,-0.18,0,0.05,13,0.769,-0.0005,0,102
Mon Aug 03 2026,SPXW260803C06885000,0,0,639.5,642.3,0,0.7903,0.9995,0,0,6885.00,SPXW260803P06885000,0.1,-0.25,0,0.05,34,0.7633,-0.0005,0,57
Mon Aug 03 2026,SPXW260803C06890000,512.91,0,634.5,637.3,0,0.7844,0.9995,0,1,6890.00,SPXW260803P06890000,0.05,-0.325,0,0.05,46,0.7575,-0.0005,0,186
Mon Aug 03 2026,SPXW260803C06895000,0,0,629.5,632.3,0,0.7784,0.9995,0,0,6895.00,SPXW260803P06895000,0.05,-0.325,0,0.05,4,0.7517,-0.0005,0,23
Mon Aug 03 2026,SPXW260803C06900000,544.91,0,624.5,627.3,0,0.7724,0.9995,0,2,6900.00,SPXW260803P06900000,0.1,-0.275,0,0.05,930,0.7459,-0.0005,0,1671
Mon Aug 03 2026,SPXW260803C06905000,0,0,619.5,622.3,0,0.7665,0.9995,0,0,6905.00,SPXW260803P06905000,0.05,-0.075,0,0.05,52,0.7401,-0.0005,0,68
Mon Aug 03 2026,SPXW260803C06910000,497.29,0,614.5,617.3,0,0.7605,0.9995,0,3,6910.00,SPXW260803P06910000,0.05,-0.35,0,0.05,106,0.7343,-0.0005,0,123
Mon Aug 03 2026,SPXW260803C06915000,0,0,609.5,612.3,0,0.7545,0.9995,0,0,6915.00,SPXW260803P06915000,0.05,-0.075,0,0.05,438,0.7285,-0.0005,0,381
Mon Aug 03 2026,SPXW260803C06920000,483.21,0,604.5,607.3,0,0.7486,0.9995,0,1,6920.00,SPXW260803P06920000,0.05,-0.35,0,0.05,77,0.7228,-0.0005,0,147
Mon Aug 03 2026,SPXW260803C06925000,477.64,0,599.5,602.3,0,0.7426,0.9995,0,5,6925.00,SPXW260803P06925000,0.05,-0.35,0,0.05,123,0.717,-0.0005,0,717
Mon Aug 03 2026,SPXW260803C06930000,502.18,0,594.5,597.3,0,0.7366,0.9995,0,2,6930.00,SPXW260803P06930000,0.05,-0.375,0,0.05,81,0.7112,-0.0005,0,125
Mon Aug 03 2026,SPXW260803C06935000,0,0,589.5,592.3,0,0.7307,0.9995,0,0,6935.00,SPXW260803P06935000,0.05,-0.375,0,0.05,46,0.7054,-0.0005,0,57
Mon Aug 03 2026,SPXW260803C06940000,438.11,0,584.5,587.3,0,0.7247,0.9995,0,4,6940.00,SPXW260803P06940000,0.05,-0.075,0,0.05,3974,0.6996,-0.0005,0,4758
Mon Aug 03 2026,SPXW260803C06945000,0,0,579.5,582.3,0,0.7188,0.9994,0,0,6945.00,SPXW260803P06945000,0.05,-0.075,0,0.05,84,0.6939,-0.0006,0,62
Mon Aug 03 2026,SPXW260803C06950000,469.62,0,574.5,577.3,0,0.7128,0.9994,0,4,6950.00,SPXW260803P06950000,0.05,-0.4,0,0.05,305,0.6881,-0.0006,0,773
Mon Aug 03 2026,SPXW260803C06955000,0,0,569.5,572.3,0,0.7068,0.9994,0,0,6955.00,SPXW260803P06955000,0.05,-0.425,0,0.05,120,0.6823,-0.0006,0,113
Mon Aug 03 2026,SPXW260803C06960000,452.33,0,564.5,567.3,0,0.7009,0.9994,0,3,6960.00,SPXW260803P06960000,0.05,-0.425,0,0.05,55,0.6765,-0.0006,0,288
Mon Aug 03 2026,SPXW260803C06965000,0,0,559.5,562.3,0,0.695,0.9994,0,0,6965.00,SPXW260803P06965000,0.05,-0.45,0,0.05,62,0.6708,-0.0006,0,58
Mon Aug 03 2026,SPXW260803C06970000,443.51,0,554.5,557.3,0,0.689,0.9994,0,4,6970.00,SPXW260803P06970000,0.05,-0.45,0,0.05,62,0.665,-0.0006,0,168
Mon Aug 03 2026,SPXW260803C06975000,455.68,0,549.5,552.3,0,0.683,0.9994,0,21,6975.00,SPXW260803P06975000,0.05,-0.45,0,0.05,262,0.6592,-0.0006,0,411
Mon Aug 03 2026,SPXW260803C06980000,403.29,0,544.5,547.3,0,0.6771,0.9994,0,2,6980.00,SPXW260803P06980000,0.05,-0.475,0,0.05,59,0.6534,-0.0006,0,283
Mon Aug 03 2026,SPXW260803C06985000,0,0,539.5,542.3,0,0.6711,0.9994,0,0,6985.00,SPXW260803P06985000,0.05,-0.475,0,0.05,148,0.6477,-0.0006,0,206
Mon Aug 03 2026,SPXW260803C06990000,387.78,0,534.5,537.3,0,0.6652,0.9994,0,4,6990.00,SPXW260803P06990000,0.05,-0.5,0,0.05,111,0.6419,-0.0006,0,942
Mon Aug 03 2026,SPXW260803C06995000,0,0,529.5,532.3,0,0.6592,0.9994,0,0,6995.00,SPXW260803P06995000,0.05,-0.45,0,0.05,282,0.6362,-0.0006,0,488
Mon Aug 03 2026,SPXW260803C07000000,415.09,0,524.5,527.3,0,0.6533,0.9994,0,15,7000.00,SPXW260803P07000000,0.07,-0.075,0,0.05,1287,0.6304,-0.0006,0,4683
Mon Aug 03 2026,SPXW260803C07005000,419.07,0,519.5,522.3,0,0.6473,0.9994,0,0,7005.00,SPXW260803P07005000,0.05,-0.1,0,0.05,688,0.6246,-0.0006,0,550
Mon Aug 03 2026,SPXW260803C07010000,421.54,0,514.5,517.3,0,0.6414,0.9994,0,8,7010.00,SPXW260803P07010000,0.05,-0.55,0,0.05,138,0.6188,-0.0006,0,144
Mon Aug 03 2026,SPXW260803C07015000,484.22,55.17,509.5,512.3,2,0.6354,0.9994,0,1,7015.00,SPXW260803P07015000,0.05,-0.5,0,0.05,123,0.6131,-0.0006,0,185
Mon Aug 03 2026,SPXW260803C07020000,398.31,0,504.5,507.3,0,0.6295,0.9994,0,4,7020.00,SPXW260803P07020000,0.05,-0.575,0,0.05,141,0.6073,-0.0006,0,467
Mon Aug 03 2026,SPXW260803C07025000,406.38,0,499.5,502.3,0,0.6236,0.9994,0,22,7025.00,SPXW260803P07025000,0.05,-0.6,0,0.05,1049,0.6016,-0.0006,0,1500
Mon Aug 03 2026,SPXW260803C07030000,390.25,0,494.5,497.3,0,0.6176,0.9994,0,4,7030.00,SPXW260803P07030000,0.1,-0.55,0,0.05,168,0.5958,-0.0006,0,218
Mon Aug 03 2026,SPXW260803C07035000,409.33,0,489.5,492.3,0,0.6116,0.9994,0,0,7035.00,SPXW260803P07035000,0.1,-0.575,0,0.05,99,0.59,-0.0006,0,95
Mon Aug 03 2026,SPXW260803C07040000,386.04,-18.56,484.5,487.3,3,0.6057,0.9994,0,3,7040.00,SPXW260803P07040000,0.1,-0.575,0,0.05,1120,0.5843,-0.0006,0,1576
Mon Aug 03 2026,SPXW260803C07045000,0,0,479.5,482.3,0,0.5998,0.9994,0,0,7045.00,SPXW260803P07045000,0.05,-0.075,0,0.05,47,0.5785,-0.0006,0,100
Mon Aug 03 2026,SPXW260803C07050000,351.84,0,474.5,477.3,0,0.5938,0.9994,0,19,7050.00,SPXW260803P07050000,0.05,-0.125,0,0.05,3473,0.5728,-0.0006,0,4243
Mon Aug 03 2026,SPXW260803C07055000,377,-12.4,469.5,472.3,2,0.5879,0.9993,0,4,7055.00,SPXW260803P07055000,0.05,-0.125,0,0.05,154,0.567,-0.0007,0,156
Mon Aug 03 2026,SPXW260803C07060000,342.46,-42.79,464.5,467.3,2,0.5819,0.9993,0,3,7060.00,SPXW260803P07060000,0.05,-0.7,0,0.05,192,0.5612,-0.0007,0,552
Mon Aug 03 2026,SPXW260803C07065000,379.07,-1.18,459.5,462.3,2,0.576,0.9993,0,1,7065.00,SPXW260803P07065000,0.05,-0.75,0,0.05,110,0.5555,-0.0007,0,175
Mon Aug 03 2026,SPXW260803C07070000,355.97,0,454.5,457.3,0,0.57,0.9993,0,2,7070.00,SPXW260803P07070000,0.1,-0.7,0,0.05,166,0.5497,-0.0007,0,351
Mon Aug 03 2026,SPXW260803C07075000,405.2,34.9,449.5,452.3,16,0.5641,0.9993,0,97,7075.00,SPXW260803P07075000,0.05,-0.775,0,0.05,9225,0.5439,-0.0007,0,9280
Mon Aug 03 2026,SPXW260803C07080000,401.05,35.7,444.5,447.3,7,0.5581,0.9993,0,84,7080.00,SPXW260803P07080000,0.1,-0.75,0,0.05,133,0.5382,-0.0007,0,207
Mon Aug 03 2026,SPXW260803C07085000,342.4,0,439.5,442.3,0,0.5522,0.9993,0,4,7085.00,SPXW260803P07085000,0.05,-0.825,0,0.05,83,0.5324,-0.0007,0,231
Mon Aug 03 2026,SPXW260803C07090000,337.02,0,434.5,437.3,0,0.5462,0.9993,0,4,7090.00,SPXW260803P07090000,0.05,-0.15,0,0.05,129,0.5267,-0.0007,0,3229
Mon Aug 03 2026,SPXW260803C07095000,332.32,0,429.5,432.3,0,0.5403,0.9993,0,2,7095.00,SPXW260803P07095000,0.1,-0.15,0,0.05,284,0.5209,-0.0007,0,372
Mon Aug 03 2026,SPXW260803C07100000,307.98,-36.92,424.5,427.3,3,0.5344,0.9993,0,14,7100.00,SPXW260803P07100000,0.1,-0.125,0,0.05,1173,0.5151,-0.0007,0,3512
Mon Aug 03 2026,SPXW260803C07105000,322.88,0,419.5,422.3,0,0.5284,0.9993,0,4,7105.00,SPXW260803P07105000,0.1,-0.9,0,0.05,119,0.5094,-0.0007,0,162
Mon Aug 03 2026,SPXW260803C07110000,320.52,-15.03,414.5,417.3,1,0.5225,0.9993,0,3,7110.00,SPXW260803P07110000,0.1,-0.925,0,0.05,209,0.5036,-0.0007,0,341
Mon Aug 03 2026,SPXW260803C07115000,311.65,0,409.5,412.3,0,0.5165,0.9993,0,2,7115.00,SPXW260803P07115000,0.1,-0.95,0,0.05,86,0.4979,-0.0007,0,280
Mon Aug 03 2026,SPXW260803C07120000,323.78,-1.02,404.5,407.3,5,0.5105,0.9987,0,5,7120.00,SPXW260803P07120000,0.12,-0.98,0,0.1,2738,0.5205,-0.0013,0,2707
Mon Aug 03 2026,SPXW260803C07125000,313.84,0,399.5,402.3,0,0.5046,0.9986,0,2,7125.00,SPXW260803P07125000,0.1,-0.15,0,0.1,2580,0.5144,-0.0014,0,2627
Mon Aug 03 2026,SPXW260803C07130000,308.69,0,394.5,397.3,0,0.4986,0.9986,0,13,7130.00,SPXW260803P07130000,0.15,-1.025,0,0.1,301,0.5084,-0.0014,0,397
Mon Aug 03 2026,SPXW260803C07135000,303.68,0,389.5,392.3,0,0.4927,0.9986,0,2,7135.00,SPXW260803P07135000,0.1,-1.125,0,0.1,370,0.5023,-0.0014,0,281
Mon Aug 03 2026,SPXW260803C07140000,281.23,-23.77,384.5,387.3,2,0.4867,0.9986,0,11,7140.00,SPXW260803P07140000,0.15,-1.125,0,0.1,1376,0.4963,-0.0014,0,1463
Mon Aug 03 2026,SPXW260803C07145000,295.11,0,379.5,382.3,0,0.4808,0.9986,0,1,7145.00,SPXW260803P07145000,0.1,-1.225,0,0.1,244,0.4902,-0.0014,0,1303
Mon Aug 03 2026,SPXW260803C07150000,356.25,61.4,374.5,377.3,1,0.4748,0.9986,0,9,7150.00,SPXW260803P07150000,0.15,-0.185,0,0.1,4372,0.4842,-0.0014,0,5050
Mon Aug 03 2026,SPXW260803C07155000,275.77,-13.98,369.5,372.3,2,0.4689,0.9986,0,2,7155.00,SPXW260803P07155000,0.15,-1.275,0,0.1,113,0.4781,-0.0014,0,353
Mon Aug 03 2026,SPXW260803C07160000,316.1,30.55,364.5,367.3,2,0.4629,0.9985,0,7,7160.00,SPXW260803P07160000,0.15,-1.35,0,0.1,1764,0.4721,-0.0015,0,4915
Mon Aug 03 2026,SPXW260803C07165000,311.1,30.8,359.7,362.3,2,0.5126,0.9985,0,8,7165.00,SPXW260803P07165000,0.15,-0.2,0,0.1,188,0.466,-0.0015,0,293
Mon Aug 03 2026,SPXW260803C07170000,281.25,5.65,354.5,357.3,7,0.451,0.9985,0,10,7170.00,SPXW260803P07170000,0.15,-0.15,0,0.1,335,0.46,-0.0015,0,434
Mon Aug 03 2026,SPXW260803C07175000,279.32,8.52,349.5,352.3,2,0.445,0.9985,0,2,7175.00,SPXW260803P07175000,0.15,-0.2,0,0.1,11247,0.4539,-0.0015,0,7832
Mon Aug 03 2026,SPXW260803C07180000,263.55,-2.2,344.5,347.3,4,0.4391,0.9985,0,5,7180.00,SPXW260803P07180000,0.15,-0.175,0,0.1,622,0.4478,-0.0015,0,546
Mon Aug 03 2026,SPXW260803C07185000,246.72,-14.13,339.5,342.3,2,0.4331,0.9978,0.0001,9,7185.00,SPXW260803P07185000,0.2,-0.225,0.05,0.1,1058,0.4581,-0.0022,0.0001,784
Mon Aug 03 2026,SPXW260803C07190000,260.12,5.17,334.5,337.3,3,0.4271,0.9984,0,6,7190.00,SPXW260803P07190000,0.15,-1.725,0,0.1,793,0.4357,-0.0016,0,436
Mon Aug 03 2026,SPXW260803C07195000,254.62,0,329.5,332.3,0,0.4212,0.9984,0,4,7195.00,SPXW260803P07195000,0.15,-1.75,0,0.1,363,0.4296,-0.0016,0,859
Mon Aug 03 2026,SPXW260803C07200000,307.43,61.78,324.5,327.3,18,0.4152,0.9984,0,57,7200.00,SPXW260803P07200000,0.2,-0.2,0,0.1,2810,0.4236,-0.0016,0,2563
Mon Aug 03 2026,SPXW260803C07205000,270.57,29.37,319.5,322.3,1,0.4092,0.9984,0,8,7205.00,SPXW260803P07205000,0.2,-0.2,0,0.1,535,0.4175,-0.0016,0,382
Mon Aug 03 2026,SPXW260803C07210000,290.03,53.68,314.5,317.3,1,0.4032,0.9983,0,7,7210.00,SPXW260803P07210000,0.2,-0.21,0,0.1,3001,0.4114,-0.0017,0,2794
Mon Aug 03 2026,SPXW260803C07215000,253.03,21.18,309.6,312.3,2,0.4276,0.9983,0,3,7215.00,SPXW260803P07215000,0.2,-0.225,0,0.1,705,0.4054,-0.0017,0,671
Mon Aug 03 2026,SPXW260803C07220000,273.23,47.13,304.6,307.3,7,0.4212,0.9976,0.0001,8,7220.00,SPXW260803P07220000,0.25,-0.28,0.05,0.1,844,0.414,-0.0024,0.0001,417
Mon Aug 03 2026,SPXW260803C07225000,239.66,17.76,299.6,302.3,7,0.4148,0.9976,0.0001,9,7225.00,SPXW260803P07225000,0.25,-0.28,0.05,0.1,2176,0.408,-0.0024,0.0001,2144
Mon Aug 03 2026,SPXW260803C07230000,238.13,19.93,294.6,297.3,2,0.4085,0.9975,0.0001,4,7230.00,SPXW260803P07230000,0.25,-0.28,0.05,0.1,1414,0.4017,-0.0024,0.0001,1015
Mon Aug 03 2026,SPXW260803C07235000,201.33,0,289.6,292.3,0,0.4021,0.9975,0.0001,1,7235.00,SPXW260803P07235000,0.27,-0.25,0.05,0.1,579,0.3954,-0.0025,0.0001,410
Mon Aug 03 2026,SPXW260803C07240000,265.36,58.51,284.7,287.3,59,0.4137,0.9975,0.0001,37,7240.00,SPXW260803P07240000,0.25,-0.275,0.05,0.1,1203,0.3891,-0.0025,0.0001,827
Mon Aug 03 2026,SPXW260803C07245000,231.14,28.64,279.5,282.3,33,0.3613,0.9974,0.0001,11,7245.00,SPXW260803P07245000,0.3,-0.225,0.05,0.1,731,0.3828,-0.0026,0.0001,408
Mon Aug 03 2026,SPXW260803C07250000,236.66,38.76,274.5,277.3,69,0.3553,0.9974,0.0001,34,7250.00,SPXW260803P07250000,0.33,-0.3,0.05,0.1,2483,0.3765,-0.0026,0.0001,1874
Mon Aug 03 2026,SPXW260803C07255000,147.73,0,269.5,272.3,0,0.3493,0.9974,0.0001,4,7255.00,SPXW260803P07255000,0.35,-0.325,0.05,0.1,1986,0.3702,-0.0026,0.0001,1282
Mon Aug 03 2026,SPXW260803C07260000,219.57,31.32,264.5,267.3,324,0.3433,0.9966,0.0001,62,7260.00,SPXW260803P07260000,0.35,-0.325,0.05,0.15,4092,0.3743,-0.0034,0.0001,3664
Mon Aug 03 2026,SPXW260803C07265000,242.13,58.78,259.5,262.3,37,0.3373,0.9973,0.0001,10,7265.00,SPXW260803P07265000,0.35,-0.35,0.05,0.1,1225,0.3576,-0.0027,0.0001,558
Mon Aug 03 2026,SPXW260803C07270000,213.6,20.86,254.5,257.3,53,0.3313,0.9965,0.0001,14,7270.00,SPXW260803P07270000,0.4,-0.375,0.05,0.15,825,0.3614,-0.0035,0.0001,675
Mon Aug 03 2026,SPXW260803C07275000,224.22,50.07,249.5,252.3,142,0.3252,0.9964,0.0001,23,7275.00,SPXW260803P07275000,0.43,-0.38,0.05,0.15,3179,0.3549,-0.0036,0.0001,2504
